id,lat,lon,name,operator,brand
559763141,47.2424106,8.4961167,Agrola Dorfplatz,Agrola,Agrola
566182962,47.2552871,8.6122837,SOCAR Horgen,SOCAR Energy Switzerland,SOCAR
572456939,47.4209538,8.5025926,Shell Furttal,Shell (Switzerland),Shell
575172150,47.2886872,8.5740582,Coop Tankstelle Thalwil,Coop Mineraloel,Coop
578221549,47.3403588,8.5193947,SOCAR Manegg,SOCAR Energy Switzerland,Socar
597414574,47.3024491,8.5463033,Avia,A.H. Meyer & Cie,Avia
611057606,47.5114381,8.544193,Migrol Service Bülach,Migrol,Shell
611086591,47.5197883,8.5423099,Seematt-Shop,A. Bürgi AG,Avia
623872891,47.2518412,8.7676795,Agrola,Agrola,Agrola
634168057,47.5091032,8.5125684,Agrola,unknown,Agrola
732044511,47.3922397,8.4013293,unknown,TAMOIL,unknown
734879882,47.5362104,8.7308534,unknown,Agrola,unknown
771363263,47.4184706,8.5468061,unknown,unknown,Independent
775345890,47.3226321,8.5781558,BP Garage Günthardt,Rudolf Günthardt AG,BP
775938665,47.3857365,8.4936574,BP Emil Frey Altstetten,unknown,BP
776975625,47.2747939,8.8257725,Agrola,Landi-Bachtel,Agrola
856769114,47.281235,8.4006173,Tankdiscount Ottenbach,unknown,unknown
926942122,47.4049521,8.5497781,Avia Dörflistrasse,Avia Osterwalder Zürich,Avia
935187372,47.2224443,8.4983152,unknown,unknown,Agrola
935831675,47.4133069,8.5208931,unknown,Coop Mineraloel,Coop
935831690,47.4123963,8.5239096,Wehntaler Tankstelle,Wehntaler Autoservice,Independent
935832538,47.4113884,8.5268978,Avia Regensberg,A.H. Meyer & Cie,Avia
956494164,47.2501062,8.7798785,Avia,Avia,Avia
970843021,47.404558,8.5563801,Ruedi Rüssel,Semes Automobile,Ruedi Rüssel
1115940413,47.2684858,8.587297,Horgengarage,Wuest,Avia
1149570590,47.2560806,8.6015375,unknown,unknown,Scall
1210602994,47.1918171,8.6447698,unknown,LANDI Zimmerberg,Agrola
1210603014,47.1899892,8.6459715,Avia,H. P. Styger,Avia
1258330247,47.4071384,8.5473271,Discount-Tankstelle,unknown,Independent
1341487957,47.2473126,8.6387565,Ruedi Rüssel,unknown,Independent
1348212458,47.5679681,8.5233063,Tamoil,unknown,Tamoil
1350936246,47.4046286,8.7197006,Autohaus Illnau AG,unknown,Tamoil
1361319683,47.3678087,8.564167,Shell Bergstrasse (Automat),unknown,Shell
1361319687,47.367931,8.5644227,Shell Bergstrasse (Shop),unknown,Shell
1363040120,47.3625248,8.5480473,Migrol Tankstelle AMAG Utoquai,Migrol,Migrol
1363673570,47.1967709,8.6794377,unknown,Shell Schweiz,Shell
1366349899,47.3624756,8.5681877,BP Witikonerstrasse,unknown,BP
1366703127,47.4065994,8.7241822,Agrola,Landi ZOLA,Agrola
1375339404,47.4252829,8.7441568,Tankstelle Nüssli,unknown,unknown
1487761567,47.3943519,8.5297022,Migrol Tankstelle Wipkingen,Migrol,Migrol
1488703647,47.4063348,8.5836156,Migrol Service Schwamendingen,Migrol,Migrol
1488717329,47.4073726,8.5865182,Avia Ueberlandstrasse,Avia Osterwalder Zürich,Avia
1488738142,47.4062266,8.5831505,Migrol Tankstelle Schwamendingen,Migrol,Migrol
1492328346,47.402714,8.577361,Tamoil,unknown,Tamoil
1492865481,47.3956372,8.6061099,Shell Sonnental,Shell (Switzerland),Shell
1513964564,47.361231,8.5224826,Eni Manessestrasse,unknown,Eni
1525269396,47.391139,8.5267589,Discount-Tankstelle,unknown,Independent
1528037438,47.4039392,8.56718,Ruedi Rüssel,unknown,Ruedi Rüssel
1580502878,47.346225,8.6018688,Shell Zollikerberg,Moveri,Shell
1612813249,47.1966754,8.6810593,unknown,Shell Schweiz,Shell
1619031481,47.2458149,8.647766,unknown,unknown,Avia
1696273321,47.3841541,8.3957628,Migrol Service Reppischhof,Migrol,Shell
1735141082,47.3734647,8.681685,Lenzlinger Tankstellen,Lenzlinger Söhne AG,unknown
